date,site,latitude,longitude,chl,temp,turb,tp,discharge_nemadji,discharge_brule,airtemp_buoy,watertemp,airtemp_wing,windspeed_lake,winddir_lake,airtemp_slre,windspeed_slre,winddir_slre,precip_slre,year
2020-06-24,lksba,46.721772,-92.06352,,19.93125,8.854166666666666,,56.4,136,,,17.59300699300699,2.5258741258741257,246.40559440559437,18.4125,1.290625,208.73958333333337,0,2020
2020-06-25,lksba,46.721772,-92.06352,,19.2375,9.333333333333334,,56.4,134,,,18.871328671328673,2.0090909090909093,206.16783216783216,20.222916666666663,1.0166666666666666,231.04166666666669,0,2020
2020-06-26,lksba,46.721772,-92.06352,,20.238541666666663,10.40625,,54.8,134,,,23.541958041958043,3.765034965034965,220.3216783216783,23.442708333333332,2.0572916666666665,263,0,2020
2020-06-27,lksba,46.721772,-92.06352,,21.189583333333335,11.197916666666666,,52.6,133,,,20.776923076923076,2.567832167832168,222.06993006993008,22.31041666666667,0.96875,160.28125,0,2020
2020-06-28,lksba,46.721772,-92.06352,,22.336458333333333,11.104166666666666,,49.5,132,,,19.43006993006993,4.463636363636365,88.27272727272725,17.6875,1.7125000000000004,91.45833333333331,0,2020
2020-06-29,lksba,46.721772,-92.06352,,21.686315789473685,10.873684210526315,,51.2,142,,,15.032867132867132,4.2972027972027975,89.24475524475527,15.91875,1.5270833333333331,85.36458333333334,0,2020
2020-06-30,lksba,46.721772,-92.06352,13.133333333333333,21.025,8.8125,,60.4,144,,,13.0993006993007,3.7762237762237767,136.85314685314685,16.832291666666666,1.359375,99.91666666666669,0,2020
2020-07-01,Mawikwe Bay,46.8858,-91.0527,0.906,17.0543458,0.11263837849999998,0.007681552,64.1,141,,,13.824285714285717,2.3804195804195807,151.05594405594402,18.004166666666666,1.2625,81.4583333333333,0,2020
2020-07-01,lksba,46.721772,-92.06352,11.5,20.964583333333337,9.333333333333334,,64.1,141,,,13.824285714285717,2.3804195804195807,151.05594405594402,18.004166666666666,1.2625,81.4583333333333,0,2020
2020-07-02,lksba,46.721772,-92.06352,13.25,20.832291666666663,7.96875,,59.9,140,,,20.253146853146852,1.1356643356643357,198.88111888111888,24.819791666666667,0.6822916666666667,169.875,0,2020
2020-07-03,lksba,46.721772,-92.06352,,22.45,7.875,,54.3,135,,,22.838461538461537,2.7741258741258745,109.99300699300704,22.689583333333335,1.0177083333333334,133.10416666666666,0,2020
2020-07-04,lksba,46.721772,-92.06352,,23.689583333333335,6.895833333333334,,49.5,134,,,19.16083916083916,1.8251748251748252,151.937062937063,21.482291666666665,0.896875,133.67708333333334,0,2020
2020-07-05,lksba,46.721772,-92.06352,,23.433333333333337,6.760416666666667,,49.9,132,,,20.76993006993007,2.604195804195805,137.77622377622387,22.633333333333333,1.0302083333333334,160.92708333333334,0,2020
2020-07-06,lksba,46.721772,-92.06352,,23.036458333333332,8.364583333333334,,102,133,,,21.755244755244757,2.7048951048951047,181.72727272727272,22.464583333333337,1.0104166666666667,200.96875,0,2020
2020-07-07,lksba,46.721772,-92.06352,,23.242708333333333,8.145833333333332,,66.1,138,,,20.993706293706293,1.6195804195804198,195.34265734265736,23.31354166666667,0.7885416666666667,156.42708333333337,0,2020
2020-07-08,lksba,46.721772,-92.06352,,24.059375,8.385416666666668,,53.8,192,,,22.026573426573425,2.1237762237762237,137.0839160839161,20.911458333333332,1.3135416666666666,130.30208333333331,0,2020
2020-07-09,Mawikwe Bay,46.8858,-91.0527,1.81,,,0.037664384,248,455,,,21.47730496453901,4.264335664335665,199.1958041958042,22.31458333333333,1.5625,236.5625,0,2020
2020-07-09,lksba,46.721772,-92.06352,,23.045833333333334,13.322916666666668,,248,455,,,21.47730496453901,4.264335664335665,199.1958041958042,22.31458333333333,1.5625,236.5625,0,2020
